id,title,authors,venue,year
journals/sigmod/PitouraAPSV03,DBGLOBE: A SERVICE-ORIENTED P2P SYSTEM FOR GLOBAL COMPUTING,"EVAGGELIA PITOURA, SERGE ABITEBOUL, MICHALIS VAZIRGIANNIS, DIETER PFOSER, GEORGE SAMARAS",SIGMOD Record,2003
conf/sigmod/BraumandlKK99,DATABASE PATCHWORK ON THE INTERNET,"REINHARD BRAUMANDL, ALFONS KEMPER, DONALD KOSSMANN",SIGMOD Conference,1999
conf/vldb/ZemankovaI94,SCIENTIFIC DATABASES - STATE OF THE ART AND FUTURE DIRECTIONS,"YANNIS E. IOANNIDIS, MARIA ZEMANKOVA",VLDB,1994
conf/vldb/BerckenSW97,A GENERIC APPROACH TO BULK LOADING MULTIDIMENSIONAL INDEX STRUCTURES,"BERNHARD SEEGER, PETER WIDMAYER, JOCHEN VAN DEN BERCKEN",VLDB,1997
conf/vldb/ZhouS03,DATA BUBBLES FOR NON-VECTOR DATA: SPEEDING-UP HIERARCHICAL CLUSTERING IN ARBITRARY METRIC SPACES,"JORG SANDER, JIANJUN ZHOU",VLDB,2003
conf/vldb/LabioG96,EFFICIENT SNAPSHOT DIFFERENTIAL ALGORITHMS FOR DATA WAREHOUSING,"HECTOR GARCIA-MOLINA, WILBURT LABIO",VLDB,1996
conf/vldb/CochranePM96,INTEGRATING TRIGGERS AND DECLARATIVE CONSTRAINTS IN SQL DATABASE SYTEMS,"ROBERTA COCHRANE, HAMID PIRAHESH, NELSON MENDONCA MATTOS",VLDB,1996
conf/vldb/HristidisGP03,EFFICIENT IR-STYLE KEYWORD SEARCH OVER RELATIONAL DATABASES,"YANNIS PAPAKONSTANTINOU, LUIS GRAVANO, VAGELIS HRISTIDIS",VLDB,2003
journals/vldb/SaltenisJ02,INDEXING OF NOW-RELATIVE SPATIO-BITEMPORAL DATA,"SIMONAS SALTENIS, CHRISTIAN S. JENSEN",VLDB J.,2002
conf/sigmod/Dyreson03,"TEMPORAL COALESCING WITH NOW, GRANULARITY, AND INCOMPLETE INFORMATION",CURTIS E. DYRESON,SIGMOD Conference,2003
journals/sigmod/ChakravarthyAEFO03,DATABASE RESEARCH AT UT ARLINGTON,"SHARMA CHAKRAVARTHY, Y. ALP ASLANDOGAN, RAMEZ ELMASRI, LEONIDAS FEGARAS, JUNG-HWAN OH",SIGMOD Record,2003
journals/sigmod/KimballS95,WHY DECISION SUPPORT FAILS AND HOW TO FIX IT,"KEVIN STREHLO, RALPH KIMBALL",SIGMOD Record,1995
conf/vldb/OzdenBRS94,A LOW-COST STORAGE SERVER FOR MOVIE ON DEMAND DATABASES,"ALEXANDROS BILIRIS, BANU OZDEN, ABRAHAM SILBERSCHATZ, RAJEEV RASTOGI",VLDB,1994
conf/vldb/NinkHR99,GENERATING CALL-LEVEL INTERFACES FOR ADVANCED DATABASE APPLICATION PROGRAMMING,"THEO HARDER, NORBERT RITTER, UDO NINK",VLDB,1999
conf/sigmod/WangWYY02,CLUSTERING BY PATTERN SIMILARITY IN LARGE DATA SETS,"HAIXUN WANG, WEI WANG, PHILIP S. YU, JIONG YANG",SIGMOD Conference,2002
conf/sigmod/Rodriguez-Martinez00,MOCHA: A DATABASE MIDDLEWARE SYSTEM FEATURING AUTOMATIC DEPLOYMENT OF APPLICATION-SPECIFIC FUNCTIONALITY,"MANUEL RODRIGUEZ-MARTINEZ, JOSEPH JAJA, JOHN M. MCGANN, NICK ROUSSOPOULOS, ZHEXUAN SONG, STEPHEN KELLEY, VADIM KATZ",SIGMOD Conference,2000
conf/sigmod/ChenDLT00,FACT: A LEARNING BASED WEB QUERY PROCESSING SYSTEM,"ZENGPING TIAN, HONGJUN LU, YANLEI DIAO, SONGTING CHEN",SIGMOD Conference,2000
journals/sigmod/MeltonE01,SQL MULTIMEDIA AND APPLICATION PACKAGES (SQL/MM),"JIM MELTON, ANDREW EISENBERG",SIGMOD Record,2001
conf/vldb/Sheth96,BELLCORE'S ADAPT/X HARNESS SYSTEM FOR MANAGING INFORMATION ON INTERNET AND INTRANETS,AMIT P. SHETH,VLDB,1996
conf/sigmod/Larson01,XML DATA MANAGEMENT GO NATIVE OR SPRUCE UP RELATIONAL SYSTEMS? (PANEL ABSTRACT),PER-AKE LARSON,SIGMOD Conference,2001
journals/sigmod/ChaudhuriD97,AN OVERVIEW OF DATA WAREHOUSING AND OLAP TECHNOLOGY,"SURAJIT CHAUDHURI, UMESHWAR DAYAL",SIGMOD Record,1997
conf/sigmod/BersonGMJ94,STAGGERED STRIPING IN MULTIMEDIA INFORMATION SYSTEMS,"STEVEN BERSON, RICHARD R. MUNTZ, SHAHRAM GHANDEHARIZADEH, XIANGYU JU",SIGMOD Conference,1994
journals/sigmod/GerlaX03,MULTIMEDIA STREAMING IN LARGE-SCALE SENSOR NETWORKS WITH MOBILE SWARMS,"MARIO GERLA, KAIXIN XU",SIGMOD Record,2003
journals/sigmod/Klein94,HOW TO MODIFY SQL QUERIES IN ORDER TO GUARANTEE SURE ANSWERS,HANS-JOACHIM KLEIN,SIGMOD Record,1994
conf/vldb/PirotteZMY94,MATERIALIZATION: A POWERFUL AND UBIQUITOUS ABSTRACTION PATTERN,"ALAIN PIROTTE, ESTEBAN ZIMANYI, TATIANA YAKUSHEVA, DAVID MASSART",VLDB,1994
conf/sigmod/DattaDRTV01,DYNAMIC CONTENT ACCELERATION: A CACHING SOLUTION TO ENABLE SCALABLE DYNAMIC WEB PAGE GENERATION,"DEBRA E. VANDERMEER, KRITHI RAMAMRITHAM, HELEN M. THOMAS, ANINDYA DATTA, KAUSHIK DUTTA",SIGMOD Conference,2001
journals/sigmod/Bertram94,DATA MODELLING IN THE LARGE,MARTIN BERTRAM,SIGMOD Record,1994
conf/sigmod/TatarinovIHW01,UPDATING XML,"DANIEL S. WELD, ZACHARY G. IVES, IGOR TATARINOV, ALON Y. HALEVY",SIGMOD Conference,2001
journals/sigmod/RoantreeS02,RESEARCH IN INFORMATION MANAGMENT AT DUBLIN CITY UNIVERSITY,"ALAN F. SMEATON, MARK ROANTREE",SIGMOD Record,2002
conf/sigmod/BaumannDFRW98,THE MULTIDIMENSIONAL DATABASE SYSTEM RASDAMAN,"ANDREAS DEHMEL, PETER BAUMANN, NORBERT WIDMANN, ROLAND RITSCH, PAULA FURTADO",SIGMOD Conference,1998
conf/vldb/AnSVKIG01,ANALYZING ENERGY BEHAVIOR OF SPATIAL ACCESS METHODS FOR MEMORY-RESIDENT DATA,"ANAND SIVASUBRAMANIAM, SUDHANVA GURUMURTHI, NARAYANAN VIJAYKRISHNAN, NING AN, MARY JANE IRWIN, MAHMUT T. KANDEMIR",VLDB,2001
conf/vldb/Graefe99,THE VALUE OF MERGE-JOIN AND HASH-JOIN IN SQL SERVER,GOETZ GRAEFE,VLDB,1999
conf/sigmod/Weininger02,EFFICIENT EXECUTION OF JOINS IN A STAR SCHEMA,ANDREAS WEININGER,SIGMOD Conference,2002
conf/vldb/ChristopheBPV00,PICODMBS: SCALING DOWN DATABASE TECHNIQUES FOR THE SMARTCARD,"LUC BOUGANIM, PATRICK VALDURIEZ, PHILIPPE PUCHERAL, CHRISTOPHE BOBINEAU",VLDB,2000
conf/vldb/JagadishKNS99,MULTI-DIMENSIONAL SUBSTRING SELECTIVITY ESTIMATION,"DIVESH SRIVASTAVA, OLGA KAPITSKAIA, RAYMOND T. NG, H. V. JAGADISH",VLDB,1999
journals/vldb/HarderST99,THE INTRINSIC PROBLEMS OF STRUCTURAL HETEROGENEITY AND AN APPROACH TO THEIR SOLUTION,"THEO HARDER, JOACHIM THOMAS, GUNTER SAUTER",VLDB J.,1999
conf/sigmod/Mohan99,A DATABASE PERSPECTIVE ON LOTUS DOMINO/NOTES,C. MOHAN,SIGMOD Conference,1999
journals/sigmod/Camps96,"DOMAINS, RELATIONS AND RELIGIOUS WARS",RAFAEL CAMPS,SIGMOD Record,1996
conf/vldb/Shenker03,THE DATA-CENTRIC REVOLUTION IN NETWORKING,SCOTT SHENKER,VLDB,2003
conf/sigmod/DeshpandeNGS03,CACHE-AND-QUERY FOR WIDE AREA SENSOR DATABASES,"PHILLIP B. GIBBONS, SRINIVASAN SESHAN, SUMAN KUMAR NATH, AMOL DESHPANDE",SIGMOD Conference,2003
conf/vldb/GardarinGT95,A COST MODEL FOR CLUSTERED OBJECT-ORIENTED DATABASES,"ZHAO-HUI TANG, JEAN-ROBERT GRUSER, GEORGES GARDARIN",VLDB,1995
conf/vldb/Garcia-MolinaLY98,EXPIRING DATA IN A WAREHOUSE,"WILBURT LABIO, JUN YANG, HECTOR GARCIA-MOLINA",VLDB,1998
journals/sigmod/Qian97,OPPORTUNITIES IN INFORMATION MANAGEMENT AND ASSURANCE,XIAOLEI QIAN,SIGMOD Record,1997
conf/vldb/EicklerKK97,FINDING DATA IN THE NEIGHBORHOOD,"ANDRE EICKLER, ALFONS KEMPER, DONALD KOSSMANN",VLDB,1997
conf/sigmod/HristidisKP01,PREFER: A SYSTEM FOR THE EFFICIENT EXECUTION OF MULTI-PARAMETRIC RANKED QUERIES,"YANNIS PAPAKONSTANTINOU, VAGELIS HRISTIDIS, NICK KOUDAS",SIGMOD Conference,2001
journals/sigmod/Liu02,EDITOR'S NOTES,LING LIU,SIGMOD Record,2002
conf/sigmod/ZhangMCMR02,RAINBOW: MAPPING-DRIVEN XQUERY PROCESSING SYSTEM,"MUKESH MULCHANDANI, ELKE A. RUNDENSTEINER, XIN ZHANG, BRIAN MURPHY, STEFFEN CHRIST",SIGMOD Conference,2002
journals/vldb/PoulovassilisS96,ALGEBRAIC QUERY OPTIMISATION FOR DATABASE PROGRAMMING LANGUAGES,"CAROL SMALL, ALEXANDRA POULOVASSILIS",VLDB J.,1996
journals/tods/AikenHW95,STATIC ANALYSIS TECHNIQUES FOR PREDICTING THE BEHAVIOR OF ACTIVE DATABASE RULES,"ALEXANDER AIKEN, JENNIFER WIDOM, JOSEPH M. HELLERSTEIN",ACM Trans. Database Syst.,1995
conf/sigmod/TheodoulidisAACKS94,THE ORES TEMPORAL DATABASE MANAGEMENT SYSTEM,"BABIS THEODOULIDIS, GEORGE KARVELIS, JAYANT CHAUDHARY, AZIZ AIT-BRAHAM, SIMON SOU, GEORGE ANDRIANOPOULOS",SIGMOD Conference,1994
journals/tods/MumickFPR96,MAGIC CONDITIONS,"HAMID PIRAHESH, INDERPAL SINGH MUMICK, RAGHU RAMAKRISHNAN, SHELDON J. FINKELSTEIN",ACM Trans. Database Syst.,1996
conf/vldb/MoserKK95,L/MRP: A BUFFER MANAGEMENT STRATEGY FOR INTERACTIVE CONTINUOUS DATA FLOWS IN A MULTIMEDIA DBMS,"WOLFGANG KLAS, FRANK MOSER, ACHIM KRAISS",VLDB,1995
conf/sigmod/Spiro98,"UBIQUITOUS, SELF-TUNING, SCALABLE SERVERS",PETER M. SPIRO,SIGMOD Conference,1998
conf/vldb/Sarawagi99,EXPLAINING DIFFERENCES IN MULTIDIMENSIONAL AGGREGATES,SUNITA SARAWAGI,VLDB,1999
conf/vldb/WuYCT95,A PERFORMANCE STUDY OF WORKFILE DISK MANAGEMENT FOR CONCURRENT MERGESORTS IN A MULTIPROCESSOR DATABASE SYSTEM,"KUN-LUNG WU, PHILIP S. YU, JAMES Z. TENG, JEN-YAO CHUNG",VLDB,1995
conf/sigmod/Vaskevitch94,DATABASE IN CRISIS AND TRANSITION: A TECHNICAL AGENDA FOR THE YEAR 2001,DAVID VASKEVITCH,SIGMOD Conference,1994
conf/sigmod/Sheth95,"WORKFLOW AUTOMATION: APPLICATIONS, TECHNOLOGY, AND RESEARCH (TUTORIAL)",AMIT P. SHETH,SIGMOD Conference,1995
journals/sigmod/KantM00,"WORKSHOP ON PERFORMANCE AND ARCHITECTURE OF WEB SERVERS (PAWS-2000, HELD IN CONJECTION WITH SIGMETRICS-2000)","KRISHNA KANT, PRASANT MOHAPATRA",SIGMOD Record,2000
conf/vldb/PottingerL00,A SCALABLE ALGORITHM FOR ANSWERING QUERIES USING VIEWS,"RACHEL POTTINGER, ALON Y. LEVY",VLDB,2000
journals/sigmod/Snodgrass02,WHY I LIKE WORKING IN ACADEMIA,RICHARD T. SNODGRASS,SIGMOD Record,2002
conf/sigmod/GionisGK01,EFFICIENT AND TUNABLE SIMILAR SET RETRIEVAL,"DIMITRIOS GUNOPULOS, ARISTIDES GIONIS, NICK KOUDAS",SIGMOD Conference,2001
conf/vldb/ChakrabartiRS02,FAST AND ACCURATE TEXT CLASSIFICATION VIA MULTIPLE LINEAR DISCRIMINANT PROJECTIONS,"MAHESH V. SOUNDALGEKAR, SOUMEN CHAKRABARTI, SHOURYA ROY",VLDB,2002
conf/vldb/DayalHL01,"BUSINESS PROCESS COORDINATION: STATE OF THE ART, TRENDS, AND OPEN ISSUES","MEICHUN HSU, RIVKA LADIN, UMESHWAR DAYAL",VLDB,2001
conf/vldb/Bowker00,WORK AND INFORMATION PRACTICES IN THE SCIENCES OF BIODIVERSITY,GEOFFREY C. BOWKER,VLDB,2000
conf/sigmod/GibbsBT94,DATA MODELING OF TIME-BASED MEDIA,"SIMON J. GIBBS, CHRISTIAN BREITENEDER, DENNIS TSICHRITZIS",SIGMOD Conference,1994
journals/tods/SrivastavaSRN95,SPACE OPTIMIZATION IN DEDUCTIVE DATABASES,"S. SUDARSHAN, DIVESH SRIVASTAVA, RAGHU RAMAKRISHNAN, JEFFREY F. NAUGHTON",ACM Trans. Database Syst.,1995
journals/sigmod/Snodgrass00a,CHAIR'S MESSAGE,RICHARD T. SNODGRASS,SIGMOD Record,2000
journals/sigmod/Alonso94b,TRADE PRESS NEWS - ANNOUNCEMENT AND PREFACE,RAFAEL ALONSO,SIGMOD Record,1994
conf/sigmod/ChenGM01,IMPROVING INDEX PERFORMANCE THROUGH PREFETCHING,"SHIMIN CHEN, TODD C. MOWRY, PHILLIP B. GIBBONS",SIGMOD Conference,2001
journals/sigmod/Qian96b,NEW PROGRAMS AT DARPA AND NSF,XIAOLEI QIAN,SIGMOD Record,1996
conf/vldb/PoulovassilisS94,INVESTIGATION OF ALGEBRAIC QUERY OPTIMISATION TECHNIQUES FOR DATABASE PROGRAMMING LANGUAGES,"ALEXANDRA POULOVASSILIS, CAROL SMALL",VLDB,1994
conf/vldb/DeutschPT99,"PHYSICAL DATA INDEPENDENCE, CONSTRAINTS, AND OPTIMIZATION WITH UNIVERSAL PLANS","LUCIAN POPA, ALIN DEUTSCH, VAL TANNEN",VLDB,1999
conf/sigmod/IvesFFLW99,AN ADAPTIVE QUERY EXECUTION SYSTEM FOR DATA INTEGRATION,"DANIEL S. WELD, ALON Y. LEVY, MARC FRIEDMAN, ZACHARY G. IVES, DANIELA FLORESCU",SIGMOD Conference,1999
conf/vldb/Sondag01,THE SEMANTIC WEB PAVING THE WAY TO THE KNOWLEDGE SOCIETY,PIERRE-PAUL SONDAG,VLDB,2001
conf/vldb/ShaferA97,PARALLEL ALGORITHMS FOR HIGH-DIMENSIONAL SIMILARITY JOINS FOR DATA MINING APPLICATIONS,"RAKESH AGRAWAL, JOHN C. SHAFER",VLDB,1997
journals/tods/DiaoAFZF03,PATH SHARING AND PREDICATE EVALUATION FOR HIGH-PERFORMANCE XML FILTERING,"YANLEI DIAO, HAO ZHANG, PETER M. FISCHER, MICHAEL J. FRANKLIN, MEHMET ALTINEL",ACM Trans. Database Syst.,2003
conf/sigmod/GangulyGR03,PROCESSING SET EXPRESSIONS OVER CONTINUOUS UPDATE STREAMS,"SUMIT GANGULY, MINOS N. GAROFALAKIS, RAJEEV RASTOGI",SIGMOD Conference,2003
conf/vldb/Johnson99,PERFORMANCE MEASUREMENTS OF COMPRESSED BITMAP INDICES,THEODORE JOHNSON,VLDB,1999
conf/vldb/ChanI99,HIERARCHICAL PREFIX CUBES FOR RANGE-SUM QUERIES,"CHEE YONG CHAN, YANNIS E. IOANNIDIS",VLDB,1999
journals/tods/WijesekeraJPH03,REMOVING PERMISSIONS IN THE FLEXIBLE AUTHORIZATION FRAMEWORK,"ASA HAGSTROM, DUMINDA WIJESEKERA, FRANCESCO PARISI-PRESICCE, SUSHIL JAJODIA",ACM Trans. Database Syst.,2003
conf/sigmod/AmbiteABKMMMPT98,ARIADNE: A SYSTEM FOR CONSTRUCTING MEDIATORS FOR INTERNET SOURCES,"ION MUSLEA, GREG BARISH, ANDREW PHILPOT, CRAIG A. KNOBLOCK, STEVEN MINTON, JOSE LUIS AMBITE, PRAGNESH JAY MODI, SHEILA TEJADA, NAVEEN ASHISH",SIGMOD Conference,1998
journals/tods/MamoulisP01,MULTIWAY SPATIAL JOINS,"DIMITRIS PAPADIAS, NIKOS MAMOULIS",ACM Trans. Database Syst.,2001
conf/sigmod/HarinarayanRU96,IMPLEMENTING DATA CUBES EFFICIENTLY,"ANAND RAJARAMAN, JEFFREY D. ULLMAN, VENKY HARINARAYAN",SIGMOD Conference,1996
journals/sigmod/MattosD94,RECENT DESIGN TRADE-OFFS IN SQL3,"NELSON MENDONCA MATTOS, LINDA G. DEMICHIEL",SIGMOD Record,1994
journals/sigmod/EisenbergM99a,SQLJ-PART 1: SQL ROUTINES USING THE JAVA PROGRAMMING LANGUAGE,"ANDREW EISENBERG, JIM MELTON",SIGMOD Record,1999
conf/sigmod/RafieiM97,SIMILARITY-BASED QUERIES FOR TIME SERIES DATA,"ALBERTO O. MENDELZON, DAVOOD RAFIEI",SIGMOD Conference,1997
journals/sigmod/PapianiWDN99,"A DISTRIBUTED SCIENTIFIC DATA ARCHIVE USING THE WEB, XML AND SQL/MED","ALISTAIR N. DUNLOP, JASMIN L. WASON, DENIS A. NICOLE, MARK PAPIANI",SIGMOD Record,1999
conf/vldb/HeymannTKWRMF02,VIATOR - A TOOL FAMILY FOR GRAPHICAL NETWORKING AND DATA VIEW CREATION,"KATJA THAM, AXEL KILIAN, DIETER MERKEL, PETER RIEGER, STEPHAN HEYMANN, GUNNAR WEGNER, JOHANN CHRISTOPH FREYTAG",VLDB,2002
journals/sigmod/Jagadish01,INFORMATION WARFARE AND SECURITY - BOOK REVIEW,H. V. JAGADISH,SIGMOD Record,2001
conf/vldb/Norvag99,THE PERSISTENT CACHE: IMPROVING OID INDEXING IN TEMPORAL OBJECT-ORIENTED DATABASE SYSTEMS,KJETIL NORVAG,VLDB,1999
conf/vldb/BelussiF95,ESTIMATING THE SELECTIVITY OF SPATIAL QUERIES USING THE `CORRELATION' FRACTAL DIMENSION,"CHRISTOS FALOUTSOS, ALBERTO BELUSSI",VLDB,1995
journals/vldb/AslanM99,SEMANTIC HETEROGENEITY RESOLUTION IN FEDERATED DATABASES BY METADATA IMPLANTATION AND STEPWISE EVOLUTION,"DENNIS MCLEOD, GOKSEL ASLAN",VLDB J.,1999
journals/sigmod/YeungHL94,PERFORMANCE EVALUATION OF A NEW DISTRIBUTED DEADLOCK DETECTION ALGORITHM,"CHIM-FU YEUNG, KAM-YIU LAM, SHEUNG-LUN HUNG",SIGMOD Record,1994
journals/sigmod/MeltonMJKSZ01,SQL AND MANAGEMENT OF EXTERNAL DATA,"JAN-EIKE MICHELS, JIM MELTON, KRISHNA G. KULKARNI, PETER M. SCHWARZ, KATHY ZEIDENSTEIN, VANJA JOSIFOVSKI",SIGMOD Record,2001
conf/vldb/LernerS03,"AQUERY: QUERY LANGUAGE FOR ORDERED DATA, OPTIMIZATION TECHNIQUES, AND EXPERIMENTS","ALBERTO LERNER, DENNIS SHASHA",VLDB,2003
conf/vldb/GarofalakisOS97,RESOURCE SCHEDULING IN ENHANCED PAY-PER-VIEW CONTINUOUS MEDIA DATABASES,"BANU OZDEN, MINOS N. GAROFALAKIS, ABRAHAM SILBERSCHATZ",VLDB,1997
conf/sigmod/ShouCTRH01,REVIEW: A REAL TIME VIRTUAL WALKTHROUGH SYSTEM,"YIXIN RUAN, ZHIYONG HUANG, KIAN-LEE TAN, JASON CHIONH, LIDAN SHOU",SIGMOD Conference,2001
journals/tods/TendickM94,A MODIFIED RANDOM PERTURBATION METHOD FOR DATABASE SECURITY,"NORMAN S. MATLOFF, PATRICK TENDICK",ACM Trans. Database Syst.,1994
conf/sigmod/Suciu99,MANAGING WEB DATA,DAN SUCIU,SIGMOD Conference,1999
conf/vldb/Raghavan96,LOADING THE DATA WAREHOUSE ACROSS VARIOUS PARALLEL ARCHITECTURES,VIJAY V. RAGHAVAN,VLDB,1996
journals/sigmod/KarlapalemLS95,HODFA: AN ARCHITECTURAL FRAMEWORK FOR HOMOGENIZING HETEROGENEOUS LEGACY DATABASE,"QING LI, KAMALAKAR KARLAPALEM, CHUNG-DAK SHUM",SIGMOD Record,1995
conf/vldb/ShashaB02,"DATABASE TUNING: PRINCIPLES, EXPERIMENTS, AND TROUBLESHOOTING TECHNIQUES","PHILIPPE BONNET, DENNIS SHASHA",VLDB,2002
journals/sigmod/RossGN03,REMINISCENCES AN INFLUENTIAL PAPERS,"JEFFREY F. NAUGHTON, MINOS N. GAROFALAKIS, KENNETH A. ROSS",SIGMOD Record,2003
journals/sigmod/Zhang95,APPLICATION OF OODB AND SGML TECHNIQUES IN TEXT DATABASE: AN ELECTRONIC DICTIONARY SYSTEM,JIAN ZHANG,SIGMOD Record,1995
conf/sigmod/ClossmanSHKPB98,JAVA AND RELATIONAL DATABASES: SQLJ (TUTORIAL),"JOHANNES KLEIN, RICHARD PLEDEREDER, GRAY CLOSSMAN, BRIAN BECKER, PHIL SHAW, MARK HAPNER",SIGMOD Conference,1998
